title,org,dates,url,description
Teaching,Oberlin College,2008-2011,,"Designed curriculum for and taught two low-credit courses, through Oberlin’s <a href=""http://oberlinexco.org/"">Experimental College</a>, a peer-teaching program: one semester of <em>Elements of Website Design</em> and two semesters of <em>Practical Software Development</em>."
The Second Page,WOBC,2013,http://secondpage.org/,"Produced a storytelling radio show and podcast on WOBC Oberlin College Community Radio."
